date,Germany,Italy,US,United Kingdom
2020-07-22,204276,245032,3974685,296377
2020-07-23,204881,245338,4043130,297146
2020-07-24,205623,245590,4116449,297914
2020-07-25,206278,245864,4181402,298681
2020-07-26,206667,246118,4236218,299426
2020-07-27,207112,246286,4293001,300111
2020-07-28,207707,246488,4359413,300658
2020-07-29,208546,246776,4431286,301455
2020-07-30,209535,247158,4498752,302301
2020-07-31,210399,247537,4567464,303181
2020-08-01,211005,247832,4623665,303942
2020-08-02,211220,248070,4669233,304685
2020-08-03,212111,248229,4714734,305623
2020-08-04,212828,248419,4773508,306293
2020-08-05,214113,248803,4827974,307184
2020-08-06,215039,249204,4887323,308134
2020-08-07,216196,249756,4946626,309005
2020-08-08,216903,250103,5000760,309763
2020-08-09,217288,250566,5046529,310825
2020-08-10,218508,250825,5094135,311641
2020-08-11,219540,251237,5142138,312789
2020-08-12,220859,251713,5198178,313798
2020-08-13,222281,252235,5249494,314927
2020-08-14,223791,252809,5314830,316367
2020-08-15,224488,253438,5361781,317379
2020-08-16,225007,253915,5400993,318484
2020-08-17,226700,254235,5437645,319197
2020-08-18,228120,254636,5482678,320286
2020-08-19,229706,255278,5529998,321098
2020-08-20,231292,256118,5574039,322280
2020-08-21,233029,257065,5622882,323313
2020-08-22,233861,258136,5665946,324601
2020-08-23,234494,259345,5700193,325642
2020-08-24,236122,260298,5736675,326614
2020-08-25,237583,261174,5777029,327798
2020-08-26,239010,262540,5822201,328846
2020-08-27,240571,263949,5867594,330368
2020-08-28,242126,265409,5914426,331644
2020-08-29,242835,266853,5957180,332752
2020-08-30,243305,268218,5991584,334467
2020-08-31,244802,269214,6026946,335873
2020-09-01,246015,270189,6068792,337168
2020-09-02,247411,271515,6109810,338676
2020-09-03,248840,272912,6154061,340411
2020-09-04,250283,274644,6204443,342351
2020-09-05,251058,276338,6247601,344164
2020-09-06,251728,277634,6278819,347152
2020-09-07,253626,278784,6302432,350100
2020-09-08,254957,280153,6329658,352560
2020-09-09,256433,281583,6363707,355219
2020-09-10,258149,283180,6399763,358138
2020-09-11,259735,284796,6447532,361677
2020-09-12,260817,286297,6488633,365174
2020-09-13,261737,287753,6523005,368504
2020-09-14,263222,288761,6557428,371125
2020-09-15,265014,289990,6596920,374228
2020-09-16,266869,291442,6635950,378219
2020-09-17,269048,293025,6681080,381614
2020-09-18,271247,294932,6730362,385936
2020-09-19,272932,296569,6772564,390358
2020-09-20,273965,298156,6811011,394257
2020-09-21,275560,299506,6862889,398625
2020-09-22,277412,300897,6902755,403551
2020-09-23,279025,302537,6941824,409729
2020-09-24,281346,304323,6988927,416363
2020-09-25,283712,306235,7037222,423236
2020-09-26,285026,308104,7081895,429277
2020-09-27,286339,309870,7119423,434969
2020-09-28,288631,311364,7152717,439013
2020-09-29,290471,313011,7196055,446156
2020-09-30,292913,314861,7235498,453264
2020-10-01,295539,317409,7281148,460178
2020-10-02,298374,319908,7336098,467146
2020-10-03,300027,322751,7384675,480017
2020-10-04,301573,325329,7420413,502978
2020-10-05,304673,327586,7459789,515571
2020-10-06,307127,330263,7505078,530113
2020-10-07,311137,333940,7556134,544275
2020-10-08,315941,338398,7614733,561815
2020-10-09,320495,343770,7671117,575679
2020-10-10,323463,349494,7726070,590844
2020-10-11,326309,354950,7772051,603716
2020-10-12,332850,359569,7813825,617688
2020-10-13,337314,365467,7866056,634920
2020-10-14,344487,372799,7925834,654644
2020-10-15,352107,381602,7990714,673622
2020-10-16,359802,391611,8059861,689257
2020-10-17,364664,402536,8116620,705428
2020-10-18,368671,414241,8165987,722409
2020-10-19,377068,423578,8233704,741212
2020-10-20,385591,434449,8295660,762542
2020-10-21,397922,449648,8358961,789229
2020-10-22,403874,465726,8435271,810467
2020-10-23,417350,484869,8517204,830998
2020-10-24,427808,504509,8599971,854010
2020-10-25,437698,525782,8662175,873800
2020-10-26,450258,542789,8729485,894690
2020-10-27,463419,564778,8806323,917575
2020-10-28,479621,589766,8885749,942275
2020-10-29,498354,616595,8976768,965340
2020-10-30,517736,647674,9076032,989745
2020-10-31,531790,679430,9165786,1011660
2020-11-01,544346,709335,9270686,1034914
2020-11-02,569598,731588,9355897,1053864
2020-11-03,577131,759829,9483095,1073882
2020-11-04,608611,790377,9587636,1099059
2020-11-05,631172,824879,9717003,1123197
2020-11-06,653992,862681,9845036,1146484
2020-11-07,668114,902490,9972546,1171441
2020-11-08,682624,935104,10087716,1192013
2020-11-09,689146,960373,10208150,1213363
2020-11-10,715693,995463,10348654,1233775
2020-11-11,738094,1028424,10495404,1256725
2020-11-12,762832,1066401,10660154,1290195
2020-11-13,785093,1107303,10840552,1317496
2020-11-14,799733,1144552,11008478,1344356
2020-11-15,802946,1178529,11144834,1369318
2020-11-16,817526,1205881,11307458,1390681
2020-11-17,843757,1238072,11471416,1410732
2020-11-18,867484,1272352,11644667,1430341
2020-11-19,891525,1308528,11836177,1453256
2020-11-20,914118,1345767,12034510,1473508
2020-11-21,927990,1380531,12213946,1493383
2020-11-22,932367,1408868,12360893,1512045
2020-11-23,946822,1431795,12534982,1527495
2020-11-24,963192,1455022,12710526,1538794
2020-11-25,995879,1480874,12893929,1557007
2020-11-26,1017830,1509875,13006455,1574562
2020-11-27,1038649,1538217,13214388,1589301
2020-11-28,1052494,1564532,13370049,1605172
2020-11-29,1055691,1585178,13510377,1617327
2020-11-30,1069912,1601554,13670698,1629657
2020-12-01,1094678,1620901,13859037,1643086
2020-12-02,1117953,1641610,14061931,1659256
2020-12-03,1141544,1664829,14285352,1674134
2020-12-04,1157514,1688939,14517996,1690432
2020-12-05,1183640,1709991,14733807,1705971
2020-12-06,1194550,1728878,14915060,1723242
2020-12-07,1200006,1742557,15109469,1737960
2020-12-08,1229269,1757394,15333921,1750241
2020-12-09,1254358,1770149,15556569,1766819
2020-12-10,1287092,1787147,15787997,1787783
2020-12-11,1314309,1805873,16028086,1809455
2020-12-12,1336101,1825775,16245883,1830956
2020-12-13,1350810,1843712,16433854,1849403
2020-12-14,1357261,1855737,16628168,1869666
2020-12-15,1391086,1870576,16837160,1888116
2020-12-16,1423830,1888144,17083804,1913277
2020-12-17,1454009,1906377,17323704,1948660
2020-12-18,1486839,1921778,17575536,1977167
2020-12-19,1508518,1938083,17767638,2004219
2020-12-20,1514962,1953185,17955653,2040147
2020-12-21,1534218,1964054,18154356,2073511
2020-12-22,1570371,1977370,18352463,2110314
2020-12-23,1604129,1991278,18582087,2149551
2020-12-24,1630596,2009317,18776242,2188587
2020-12-25,1632736,2028354,18874122,2221312
2020-12-26,1646240,2038759,19100538,2256005
2020-12-27,1658639,2047696,19256383,2288345
2020-12-28,1672643,2056277,19430535,2329730
2020-12-29,1692109,2067487,19630943,2382865
2020-12-30,1741153,2083689,19864644,2432888
2020-12-31,1760520,2107166,20100244,2488780
2021-01-01,1762637,2129376,20254160,2542065
2021-01-02,1773540,2141201,20554622,2599789
2021-01-03,1783896,2155446,20763475,2654779
2021-01-04,1796216,2166244,20947480,2713563
2021-01-05,1814565,2181619,21182522,2774479
2021-01-06,1841228,2201945,21438159,2836801
2021-01-07,1886561,2220361,21716496,2889419
2021-01-08,1905638,2237890,22011753,2957472
2021-01-09,1928462,2257866,22272720,3017409
2021-01-10,1929410,2276491,22486135,3072349
2021-01-11,1941116,2289021,22700799,3118518
2021-01-12,1968326,2303263,22927766,3164051
2021-01-13,1993892,2319036,23158067,3211576
2021-01-14,2015235,2336279,23393833,3260258
2021-01-15,2023828,2352423,23636613,3316019
2021-01-16,2038645,2368733,23838471,3357361
2021-01-17,2050129,2381277,24016402,3395959
2021-01-18,2059382,2390102,24160000,3433494
2021-01-19,2071615,2400598,24336216,3466849
2021-01-20,2100618,2414166,24519477,3505754
2021-01-21,2108895,2428221,24713333,3543646
2021-01-22,2125261,2441854,24904093,3583907
2021-01-23,2137691,2455185,25074852,3617459
2021-01-24,2147769,2466813,25206050,3647463
2021-01-25,2154656,2475372,25357727,3669658
2021-01-26,2164043,2485956,25505353,3689746
2021-01-27,2179679,2501147,25659314,3715054
2021-01-28,2194562,2515507,25828118,3743734
2021-01-29,2207393,2529070,25994731,3772813
2021-01-30,2224911,2541783,26137190,3796088
2021-01-31,2225659,2553032,26249342,3817176
2021-02-01,2232327,2560957,26384317,3835783
2021-02-02,2240017,2570608,26499620,3852623
2021-02-03,2252504,2583790,26621311,3871825
2021-02-04,2265536,2597446,26745317,3892459
2021-02-05,2276371,2611659,26879739,3911573
2021-02-06,2285003,2625098,26983915,3929835
2021-02-07,2291673,2636738,27073661,3945680
2021-02-08,2296323,2644707,27164099,3959784
2021-02-09,2302051,2655319,27259364,3972148
2021-02-10,2311297,2668266,27354614,3985161
2021-02-11,2321225,2683403,27460378,3998655
2021-02-12,2330422,2697296,27560048,4013799
2021-02-13,2336906,2710819,27647267,4027106
2021-02-14,2341744,2721879,27712402,4038078
2021-02-15,2346876,2729223,27766681,4047843
2021-02-16,2352766,2739591,27829179,4058468
2021-02-17,2362364,2751657,27899318,4071185
2021-02-18,2372209,2765412,27969229,4083242
2021-02-19,2381259,2780882,28048511,4095269
2021-02-20,2388421,2795796,28120207,4105675
2021-02-21,2394515,2809246,28177359,4115509
2021-02-22,2399499,2818863,28233518,4126150
2021-02-23,2405263,2832162,28305788,4134639
2021-02-24,2416037,2848564,28380537,4144577
2021-02-25,2427069,2868435,28458041,4154562
2021-02-26,2436506,2888923,28535390,4163085
2021-02-27,2444177,2907825,28600016,4170519
2021-02-28,2450295,2925265,28651438,4176554
2021-03-01,2455569,2938371,28709536,4182009
2021-03-02,2462061,2955434,28766634,4188400
2021-03-03,2472913,2976274,28833825,4194785
2021-03-04,2484306,2999119,28901885,4201358
2021-03-05,2493887,3023129,28968304,4207304
2021-03-06,2502151,3046762,29026558,4213343
2021-03-07,2508655,3067486,29067631,4218520
2021-03-08,2513784,3081368,29112548,4223232
2021-03-09,2520618,3101093,29170215,4228998
2021-03-10,2541781,3123368,29228110,4234924
2021-03-11,2546526,3149017,29290581,4241677
2021-03-12,2559296,3175807,29352094,4248286
2021-03-13,2569864,3201838,29405125,4253820
2021-03-14,2578842,3223142,29443403,4258438
2021-03-15,2585385,3238394,29499944,4263527
2021-03-16,2603064,3258770,29553952,4268821
2021-03-17,2610769,3281810,29613232,4274579
2021-03-18,2639258,3306711,29673607,4280882
2021-03-19,2654734,3332418,29735258,4285684
2021-03-20,2669233,3356331,29790777,4291271
2021-03-21,2670001,3376376,29824599,4296583
2021-03-22,2678262,3400877,29876035,4301925
2021-03-23,2699231,3419616,29929723,4307304
2021-03-24,2722988,3440862,30016661,4312908
2021-03-25,2744608,3464543,30084207,4319128
2021-03-26,2765297,3488619,30161584,4325315
2021-03-27,2782925,3512453,30224426,4329180
2021-03-28,2784652,3532057,30267649,4333042
2021-03-29,2794949,3544957,30336922,4337696
2021-03-30,2818630,3561012,30398351,4341736
2021-03-31,2843644,3584899,30465116,4345788
2021-04-01,2866323,3607083,30544235,4350266
2021-04-02,2882356,3629000,30614122,4353668
2021-04-03,2886029,3650247,30677383,4357091
2021-04-04,2896329,3668264,30712516,4359388
2021-04-05,2902309,3678944,30789920,4362150
2021-04-06,2909902,3686707,30850594,4364529
2021-04-07,2940279,3700393,30925615,4367291
2021-04-08,2966789,3717602,31005509,4370321
2021-04-09,2990724,3736526,31088219,4365461
2021-04-10,3009452,3754077,31154906,4368045
2021-04-11,3012158,3769814,31201415,4369775
2021-04-12,3024604,3779594,31271490,4373343
2021-04-13,3054025,3793033,31349456,4375814
2021-04-14,3085142,3809193,31424859,4378305
2021-04-15,3110252,3826156,31499167,4380976
2021-04-16,3134108,3842079,31579238,4383732
2021-04-17,3154305,3857443,31631770,4385938
2021-04-18,3155522,3870131,31673891,4387820
2021-04-19,3167137,3878994,31741996,4390783
2021-04-20,3198534,3891063,31802945,4393307
2021-04-21,3222888,3904899,31865800,4395703
2021-04-22,3254609,3920945,31933078,4398431
2021-04-23,3276871,3935703,31995489,4401109
2021-04-24,3291293,3949517,32048984,4403170
2021-04-25,3306692,3962674,32081137,4404882
2021-04-26,3312653,3971114,32128705,4406946
2021-04-27,3338564,3981512,32179541,4409631
2021-04-28,3366827,3994894,32234691,4411797
2021-04-29,3391039,4009208,32292942,4414242
2021-04-30,3405365,4022653,32350861,4416623
2021-05-01,3423900,4035617,32396252,4418530
2021-05-02,3432676,4044762,32425655,4420201
2021-05-03,3438186,4050708,32476146,4421850
2021-05-04,3462297,4059821,32516869,4423796
2021-05-05,3484755,4070400,32561573,4425940
2021-05-06,3502672,4082198,32609130,4428553
2021-05-07,3517762,4092747,32657260,4431043
2021-05-08,3530887,4102921,32690935,4433090
2021-05-09,3530887,4111210,32712362,4434860
2021-05-10,3538208,4116287,32749160,4437217
2021-05-11,3557904,4123230,32782822,4439691
2021-05-12,3564494,4131078,32818648,4441975
2021-05-13,3578125,4139160,32856724,4444631
2021-05-14,3588502,4146722,32898984,4446824
2021-05-15,3595872,4153374,32927841,4448851
2021-05-16,3602939,4159122,32944716,4450777
2021-05-17,3608320,4162576,32973337,4452756
2021-05-18,3615896,4167025,33001126,4450392
2021-05-19,3627777,4172525,33030427,4452527
2021-05-20,3638504,4178261,33060633,4455221
2021-05-21,3646600,4183476,33088579,4457923
2021-05-22,3653019,4188190,33108377,4460446
2021-05-23,3657662,4192183,33121245,4462538
2021-05-24,3659990,4194672,33147060,4464900
2021-05-25,3662568,4197892,33169799,4467310
2021-05-26,3667041,4201827,33193775,4470297
2021-05-27,3673990,4205970,33221223,4473677
2021-05-28,3680159,4209707,33243082,4477705
2021-05-29,3684672,4213055,33255083,4480945
2021-05-30,3687715,4216003,33261817,4484056
2021-05-31,3689921,4217821,33267592,4487339
2021-06-01,3692908,4220304,33290532,4490438
2021-06-02,3698004,4223200,33307449,4494699
2021-06-03,3701692,4225163,33326529,4499878
2021-06-04,3704685,4227719,33343379,4506018
2021-06-05,3706934,4230153,33357285,4511669
2021-06-06,3708898,4232428,33362680,4516892
2021-06-07,3710342,4233698,33378176,4522476
2021-06-08,3712595,4235592,33391189,4528442
2021-06-09,3715870,4237790,33409836,4535754
2021-06-10,3718617,4239868,33424381,4542986
2021-06-11,3720811,4241760,33449080,4550944
2021-06-12,3722295,4243482,33457308,4558494
2021-06-13,3723295,4244872,33462085,4565813
2021-06-14,3724168,4245779,33474815,4573419
2021-06-15,3725328,4247032,33486120,4581006
2021-06-16,3726767,4248432,33498545,4589814
2021-06-17,3727668,4249755,33508938,4600623
2021-06-18,3728601,4250902,33529529,4610893
2021-06-19,3729597,4252095,33538049,4620968
2021-06-20,3730126,4252976,33541941,4630040
2021-06-21,3730619,4253460,33554275,4640507
2021-06-22,3731304,4254294,33565215,4651988
2021-06-23,3732439,4255434,33577651,4667870
2021-06-24,3732914,4255700,33590481,4684572
2021-06-25,3733665,4256451,33614196,4699868
2021-06-26,3734153,4257289,33621499,4717811
2021-06-27,3734489,4258069,33625419,4732434
2021-06-28,3734830,4258456,33640502,4755078
2021-06-29,3735399,4259133,33651852,4775301
2021-06-30,3736205,4259909,33664970,4800907
2021-07-01,3736959,4260788,33679433,4828463
2021-07-02,3737630,4261582,33709325,4855169
2021-07-03,3738059,4262511,33714064,4879616
2021-07-04,3738470,4263317,33717761,4903434
2021-07-05,3738862,4263797,33723289,4930534
2021-07-06,3739575,4264704,33747513,4958868
2021-07-07,3740567,4265714,33770444,4990916
2021-07-08,3741470,4267105,33790505,5022893
2021-07-09,3742355,4268491,33838746,5058093
2021-07-10,3743164,4269885,33847784,5089893
2021-07-11,3743732,4271276,33853948,5121245
2021-07-12,3744285,4272163,33888961,5155243
2021-07-13,3745312,4273693,33915385,5191459
2021-07-14,3746935,4275846,33947230,5233207
2021-07-15,3748379,4278319,33975642,5281098
2021-07-16,3749944,4281214,34054952,5332371
2021-07-17,3751253,4284332,34067912,5386340
2021-07-18,3752236,4287458,34079960,5433939
2021-07-19,3753220,4289528,34132071,5473477
2021-07-20,3754846,4293083,34174774,5519602
2021-07-21,3756497,4297337,34226806,5563006
